Procurement Ref. No.,Lot No.,Procurement Title,Procuring Entity,Procurement Category,Market Approach,Source,Submission Deadline
EPSA-NCB-C-0089-2017-BID,Lot:  1,Interior Design and Consulting Services,Ethiopia Pharmaceutical Supplies Service,ConsultancyServices,National,Federal Government,"Apr 17, 2025, 1:00:00 PM"
ECTA-NCB-G-0037-2017-BID,Lot:  1,ደረጃውን የጠበቀ መጋረጃ,Ethiopian Coffee and Tea Authority,Goods,National,Federal Government,"Apr 12, 2025, 12:00:00 PM"
EMI-NCB-G-0020-2017-BID,Lot:  1,Lot-1 Procurment of Uniform Cloth,Ethiopian meteorology institute,Goods,National,Federal Government,"Apr 2, 2025, 10:00:00 AM"
ECAA-NCB-G-0048-2017-BID,Lot:  1,Procurement of Silent Diesel Generator,Ethiopian Civil Aviation Authority,Goods,National,Federal Government,"Apr 14, 2025, 10:00:00 AM"
,,,,,,,
PPS-ICB-G-0048-2017-BID,Lot:  1,Procurement of Laptop computers core i5,Federal Public Procurement Service,Goods,International,Federal Government,"May 2, 2025, 1:00:00 PM"
DDU-NCB-G-0078-2017-BID,Lot:  1,Lot 60 procurement of Electronics,Dire Dawa University,Goods,National,Federal Government,"Apr 13, 2025, 1:00:00 PM"
PSI-NCB-NC-0025-2017-BID,Lot:  1,Procurement of VCR (Board) Room Licenses,Policy Study Institute,NonConsultancyServices,National,Federal Government,"Apr 12, 2025, 1:00:00 PM"
MAU-NCB-NC-0057-2017-BID,Lot:  1,ዳብል ካፕ መኪና ኪራይ አገልግሎት ግዥ,Mekidelamba University,NonConsultancyServices,National,Federal Government,"Apr 4, 2025, 10:00:00 AM"
PSI-NCB-NC-0019-2017-BID,Lot:  1,Procurement of Milk Rent Service For One,Policy Study Institute,NonConsultancyServices,National,Federal Government,"Apr 30, 2025, 10:00:00 AM"
PSI-NCB-NC-0022-2017-BID,Lot:  1,Procurement of Audit Service For Three Y,Policy Study Institute,NonConsultancyServices,National,Federal Government,"Apr 1, 2025, 10:00:00 AM"
EPSA-NCB-C-0089-2017-BID,Lot:  1,Interior Design and Consulting Services,Ethiopia Pharmaceutical Supplies Service,ConsultancyServices,National,Federal Government,"Apr 17, 2025, 1:00:00 PM"
ECTA-NCB-G-0037-2017-BID,Lot:  1,ደረጃውን የጠበቀ መጋረጃ,Ethiopian Coffee and Tea Authority,Goods,National,Federal Government,"Apr 12, 2025, 12:00:00 PM"
EMI-NCB-G-0020-2017-BID,Lot:  1,Lot-1 Procurment of Uniform Cloth,Ethiopian meteorology institute,Goods,National,Federal Government,"Apr 2, 2025, 10:00:00 AM"
ECAA-NCB-G-0048-2017-BID,Lot:  1,Procurement of Silent Diesel Generator,Ethiopian Civil Aviation Authority,Goods,National,Federal Government,"Apr 14, 2025, 10:00:00 AM"
,,,,,,,
FPC-NCB-G-0066-2017-BID,Lot:  1,Procurement of IT and electronics equipm,Federal Prisoners Commission,Goods,National,Federal Government,"Apr 12, 2025, 5:00:00 PM"
WKU-NCB-G-0104-2017-BID,Lot:  1,LOT -400  Procurement of Car tier (የመኪና,Wolkite University,Goods,National,Federal Government,"Apr 12, 2025, 10:00:00 AM"
AHI-NCB-G-0009-2017-BID,Lot:  1,LOT 0001 PROCUREMENT OF PASTERIZED MILK,Animal Health Institute,Goods,National,Federal Government,"Apr 3, 2025, 10:00:00 AM"
AAU-NCB-G-0056-2017-BID,Lot:  1,lot-3  Procurement of  stationery items,Addis Ababa University,Goods,National,Federal Government,"Apr 12, 2025, 10:00:00 AM"
EWCA-NCB-NC-0020-2017-BID,Lot:  1,Lot :29 ባህላዊ ሬስቶራንት አገልግሎት አዲስ አበባ ከተማ,Ethiopian Wildlife Conservation Authorit,NonConsultancyServices,National,Federal Government,"Apr 4, 2025, 2:00:00 PM"
AMSH-NCB-G-0068-2017-BID,Lot:  1,የ ጉልበት ስራ አገልግሎት ግዢ  ›››,Amanuel Mental Specialized Hospital,Goods,National,Federal Government,"Apr 2, 2025, 10:00:00 AM"
GU-NCB-W-0079-2017-BID,Lot:  1,L0T 107 SUPPLY OF MINING AND ELECTRICAL,Gambella University,Works,National,Federal Government,"Mar 28, 2026, 10:00:00 AM"
LDI-NCB-NC-0094-2017-BID,Lot:  1,የኮድ 4-13249 ኮስትር ባስ ጠቅላላ የሞተር እድሳት የጥገና,Livestock Development Institute,NonConsultancyServices,National,Federal Government,"Apr 12, 2025, 5:00:00 PM"
MWU-NCB-G-0147-2017-PUR,Lot:  1,የመደወላቡ ዩኒቨርሲቲ ጎባ ሆስፒታል ለ APTS (የመድሀኒቶች የ,Madda Walabu University,Goods,National,Federal Government,"Apr 1, 2025, 10:00:00 AM"
EFDA-NCB-W-0016-2017-BID,Lot:  1,Procurement of Renovation work for EFDA,Ethiopian Food and Drug Authority,Works,National,Federal Government,"Apr 17, 2025, 10:00:00 AM"
,,,,,,,
EPHI-NCB-W-0067-2017-BID,Lot:  1,Supply and renovation work of the Labora,Ethiopian Public Health Institute,Works,National,Federal Government,"Apr 17, 2025, 5:00:00 PM"
AAU-NCB-G-0057-2017-BID,Lot:  1,lot 4 procurement of maintenance materi,Addis Ababa University,Goods,National,Federal Government,"Apr 11, 2025, 1:00:00 PM"
EIPA-NCB-C-0020-2017-BID,Lot:  1,Law Consultancy Service (ለዳሰሳ ጥናትና የአዋጅ,Ethiopian Intellectual Property Authorit,ConsultancyServices,National,Federal Government,"Apr 11, 2025, 1:00:00 PM"
SLU-NCB-G-0037-2017-BID,Lot:  1,"Dairy Science and technology, Animal Nut",Salale University,Goods,National,Federal Government,"Apr 15, 2025, 9:00:00 AM"
SLU-NCB-G-0038-2017-BID,Lot:  1,purchase of equipment for    sport gym c,Salale University,Goods,National,Federal Government,"Apr 3, 2025, 4:00:00 PM"
AMSH-NCB-G-0075-2017-BID,Lot:  1,Procurement Of Medicine >>>,Amanuel Mental Specialized Hospital,Goods,National,Federal Government,"Apr 17, 2025, 1:00:00 PM"
FPC-NCB-G-0069-2017-BID,Lot:  1,Purchase  of sanitary items**,Federal Prisoners Commission,Goods,National,Federal Government,"Apr 11, 2025, 5:00:00 PM"
DMU-NCB-W-0006-2017-BID,Lot:  1,LOT 31:-PROCURMENT OF EXISTING BUILDING,Debremarkos University,Works,National,Federal Government,"Apr 4, 2025, 10:00:00 AM"
MOD-NCB-G-0675-2017-PUR,Lot:  1,የጋራዥና የግምጃ ቤት ጋወን የግዥ ፍላጎት,Ministry of Defense,Goods,National,Federal Government,"Apr 3, 2025, 10:00:00 AM"
HoPR-NCB-NC-0056-2017-BID,Lot:  1,Procurement of Enhancing Parliament Web,Houses of Peoples Representative,NonConsultancyServices,National,Federal Government,"Apr 4, 2025, 10:00:00 AM"
,,,,,,,
EPHI-NCB-W-0067-2017-BID,Lot:  1,Supply and renovation work of the Labora,Ethiopian Public Health Institute,Works,National,Federal Government,"Apr 17, 2025, 5:00:00 PM"
AAU-NCB-G-0057-2017-BID,Lot:  1,lot 4 procurement of maintenance materi,Addis Ababa University,Goods,National,Federal Government,"Apr 11, 2025, 1:00:00 PM"
EIPA-NCB-C-0020-2017-BID,Lot:  1,Law Consultancy Service (ለዳሰሳ ጥናትና የአዋጅ,Ethiopian Intellectual Property Authorit,ConsultancyServices,National,Federal Government,"Apr 11, 2025, 1:00:00 PM"
SLU-NCB-G-0037-2017-BID,Lot:  1,"Dairy Science and technology, Animal Nut",Salale University,Goods,National,Federal Government,"Apr 15, 2025, 9:00:00 AM"
SLU-NCB-G-0038-2017-BID,Lot:  1,purchase of equipment for    sport gym c,Salale University,Goods,National,Federal Government,"Apr 3, 2025, 4:00:00 PM"
AMSH-NCB-G-0075-2017-BID,Lot:  1,Procurement Of Medicine >>>,Amanuel Mental Specialized Hospital,Goods,National,Federal Government,"Apr 17, 2025, 1:00:00 PM"
FPC-NCB-G-0069-2017-BID,Lot:  1,Purchase  of sanitary items**,Federal Prisoners Commission,Goods,National,Federal Government,"Apr 11, 2025, 5:00:00 PM"
DMU-NCB-W-0006-2017-BID,Lot:  1,LOT 31:-PROCURMENT OF EXISTING BUILDING,Debremarkos University,Works,National,Federal Government,"Apr 4, 2025, 10:00:00 AM"
MOD-NCB-G-0675-2017-PUR,Lot:  1,የጋራዥና የግምጃ ቤት ጋወን የግዥ ፍላጎት,Ministry of Defense,Goods,National,Federal Government,"Apr 3, 2025, 10:00:00 AM"
HoPR-NCB-NC-0056-2017-BID,Lot:  1,Procurement of Enhancing Parliament Web,Houses of Peoples Representative,NonConsultancyServices,National,Federal Government,"Apr 4, 2025, 10:00:00 AM"
,,,,,,,
SPSH-NCB-G-0091-2017-BID,Lot:  1,Procurement of labratory commodities New,St. Peter Specialized Hospital,Goods,National,Federal Government,"Apr 1, 2025, 11:00:00 AM"
HoPR-NCB-NC-0063-2017-BID,Lot:  1,V   I   P  Cafe Kitchen (ምክር ቤቱን በሚመጥን እ,Houses of Peoples Representative,NonConsultancyServices,National,Federal Government,"Apr 11, 2025, 1:00:00 PM"
BHU-NCB-G-0089-2017-PUR,Lot:  1,PROCUREMENT OF CONFIDENCE,Bule Hora University,Goods,National,Federal Government,"Jan 31, 2028, 2:00:00 PM"
DDU-NCB-G-0073-2017-BID,Lot:  1,Lot 75 Procurement of Supply and install,Dire Dawa University,Goods,National,Federal Government,"Apr 5, 2025, 4:00:00 PM"
ERA-ICB-G-0042-2017-BID,Lot:  1,Lot 37: Procurement of Single drum rolle,Ethiopian Road Administration,Goods,International,Federal Government,"Apr 15, 2025, 10:00:00 AM"
ERA-ICB-G-0041-2017-BID,Lot:  1,Lot 36: Procurement of Wheel loader; 3 m,Ethiopian Road Administration,Goods,International,Federal Government,"Apr 15, 2025, 10:00:00 AM"
DKU-NCB-G-0067-2017-BID-Re-bid,Lot:  1,procurement of የቤትና የቢሮ  እቃዎች,Debark University,Goods,National,Federal Government,"Apr 1, 2025, 11:00:00 AM"
DKU-NCB-G-0086-2017-BID,Lot:  1,Procurement of camera equipment,Debark University,Goods,National,Federal Government,"Apr 2, 2025, 9:00:00 AM"
ERA-NCB-G-0047-2017-BID-Re-bid,Lot:  1,Lot 40: Procurement of Asphalt Paver wit,Ethiopian Road Administration,Goods,National,Federal Government,"Apr 11, 2025, 10:00:00 AM"
DKU-NCB-G-0087-2017-BID,Lot:  1,procurement of Agricultural laboratory e,Debark University,Goods,National,Federal Government,"Apr 3, 2025, 10:00:00 AM"
,,,,,,,
DKU-NCB-G-0081-2017-BID,Lot:  1,Procurement of የጋራጅ ቋሚ አቃ,Debark University,Goods,National,Federal Government,"Apr 2, 2025, 9:00:00 AM"
ERA-NCB-G-0048-2017-BID-Re-bid,Lot:  1,Lot 39: Procurement of Excavator with Fi,Ethiopian Road Administration,Goods,National,Federal Government,"Apr 11, 2025, 10:00:00 AM"
ERA-NCB-G-0045-2017-BID-Re-bid,Lot:  1,Lot 41: Procurement of Loader with Field,Ethiopian Road Administration,Goods,National,Federal Government,"Apr 11, 2025, 4:00:00 PM"
MAU-NCB-G-0059-2017-BID,Lot:  1,የእንስሳት መድሀኒት ግዥ ሎት 1,Mekidelamba University,Goods,National,Federal Government,"Apr 10, 2025, 9:00:00 AM"
MOD-NCB-NC-0572-2017-BID,Lot:  1,Procurement of ICT goods and installatio,Ministry of Defense,NonConsultancyServices,National,Federal Government,"Apr 11, 2025, 1:00:00 PM"
SLU-NCB-G-0051-2017-BID,Lot:  1,የከብት ሥጋ ግዢ2,Salale University,Goods,National,Federal Government,"Apr 12, 2025, 6:00:00 PM"
JJU-NCB-G-0021-2017-BID-Re-bid,Lot:  1,OFFICE EQUIPMENT FOR  PROJECT SITE,Jigjiga University,Goods,National,Federal Government,"Apr 11, 2025, 1:00:00 PM"
MoTL-NCB-G-0028-2017-BID,Lot:  1,Procurement of suit (protocol suit) የፕሮቶ,Ministry of Transport and Logistics,Goods,National,Federal Government,"Apr 11, 2025, 1:00:00 PM"
AMSH-NCB-G-0079-2017-BID,Lot:  1,Procurement of laboratory furniture //,Amanuel Mental Specialized Hospital,Goods,National,Federal Government,"Apr 16, 2025, 1:00:00 PM"
ECTA-NCB-G-0035-2017-BID,Lot:  1,Agricultural Equipment 3,Ethiopian Coffee and Tea Authority,Goods,National,Federal Government,"Apr 10, 2025, 12:00:00 PM"
,,,,,,,
RG-NCB-G-0040-2017-BID,Lot:  1,የፅዳት ዕቃዎችእና የሴቶች የንፅሕና መጠበቂያ  ግዥ LOt -0,Republican Guard,Goods,National,Federal Government,"Apr 10, 2025, 12:00:00 PM"
NISS-NCB-G-0852-2017-PUR,Lot:  1,4 ኤሌክትሪክ 17.7.2017,National Intelligence and Security Servi,Goods,National,Federal Government,"Jan 3, 2026, 12:00:00 AM"
FPC-NCB-G-0067-2017-BID,Lot:  1,PROCUREMENT OF SPORT MATERIALS *,Federal Prisoners Commission,Goods,National,Federal Government,"Apr 10, 2025, 12:00:00 PM"
MoP-NCB-G-0024-2017-BID-Re-bid,Lot:  1,2017 precurement plan  of comunication m,Ministry of Peace,Goods,National,Federal Government,"Apr 10, 2025, 1:00:00 PM"
BHU-NCB-NC-0071-2017-BID,Lot:  1,Lot:3/ICT  Property administration Manag,Bule Hora University,NonConsultancyServices,National,Federal Government,"Apr 2, 2025, 3:00:00 PM"
CSC-NCB-G-0014-2017-BID,Lot:  1,purchase requisition protocol uniform 1,FDRE Civil Service Commission,Goods,National,Federal Government,"Apr 4, 2025, 10:00:00 AM"
CSC-NCB-G-0013-2017-BID,Lot:  1,"procurement of uniform 1 ,2017",FDRE Civil Service Commission,Goods,National,Federal Government,"Apr 3, 2025, 10:00:00 AM"
SPHMMC-NCB-G-0774-2017-PUR,Lot:  1,examination glove medium size 100  piece,St. Paul's Hospital Millennium Medical,Goods,National,Federal Government,"Jan 12, 2026, 12:00:00 AM"
EMAA-NCB-C-0021-2017-BID,Lot:  1,LOT 51;  Procurement of Logistics Operat,Ethiopian Maritime Authority,ConsultancyServices,National,Federal Government,"Apr 10, 2025, 10:00:00 AM"
EPU-NCB-C-0030-2017-BID,Lot:  1,የሞጁል ልማት እና ግምገማ ባለሙያ ግዥ,Ethiopian Police University,ConsultancyServices,National,Federal Government,"Apr 10, 2025, 1:00:00 PM"
,,,,,,,
RG-NCB-G-0039-2017-BID,Lot:  1,አንሶላና ፎጣ ግዥ --- 2017---LOT.. 027,Republican Guard,Goods,National,Federal Government,"Apr 10, 2025, 1:00:00 PM"
RG-NCB-G-0039-2017-BID,Lot:  1,አንሶላና ፎጣ ግዥ --- 2017---LOT.. 027,Republican Guard,Goods,National,Federal Government,"Apr 10, 2025, 1:00:00 PM"
RG-NCB-G-0039-2017-BID,Lot:  1,አንሶላና ፎጣ ግዥ --- 2017---LOT.. 027,Republican Guard,Goods,National,Federal Government,"Apr 10, 2025, 1:00:00 PM"
RG-NCB-G-0039-2017-BID,Lot:  1,አንሶላና ፎጣ ግዥ --- 2017---LOT.. 027,Republican Guard,Goods,National,Federal Government,"Apr 10, 2025, 10:00:00 AM"
UoG-NCB-G-0115-2017-BID,Lot:  1,Lot=050 procurement of Rigid pediatric B,University of Gondar,Goods,National,Federal Government,"Apr 11, 2025, 12:00:00 PM"
FHCE-NCB-NC-0031-2017-BID,Lot:  1,የሆቴል አገልግሎት ግዥ ለአዲስ አበባ ከተማ ለ ባለ 5 ኮከብ ብ,Federal High Court,NonConsultancyServices,National,Federal Government,"Apr 1, 2025, 10:00:00 AM"
AMSH-NCB-G-0080-2017-BID,Lot:  1,Procurement Of Expert Table +,Amanuel Mental Specialized Hospital,Goods,National,Federal Government,"Apr 18, 2025, 10:00:00 AM"
SLU-NCB-G-0031-2017-BID-Re-bid-Re-bid,Lot:  1,procurement of modern music materials,Salale University,Goods,National,Federal Government,"Apr 10, 2025, 10:00:00 AM"
ECA-NCB-NC-0023-2017-BID,Lot:  1,Hotel Service /ለሁለት ዓመት ውል የሆቴል አገልግሎት ግ,Ethiopian Construction Authority,NonConsultancyServices,National,Federal Government,"Apr 3, 2025, 2:00:00 PM"
EED-NCB-G-0007-2017-BID,Lot:  1,Procurement  of የአዳራሽ ወንበር /BID/2017/05,Ethiopian Enterprise Development,Goods,National,Federal Government,"Apr 10, 2025, 5:00:00 PM"
SLU-NCB-G-0033-2017-BID-Re-bid,Lot:  1,Lot 11: procurement of building material,Salale University,Goods,National,Federal Government,"Apr 7, 2025, 9:00:00 AM"
SLU-NCB-G-0047-2017-BID,Lot:  1,ለመንገድ ትራንስፖርት ደህንነት ስራ የምያስፈልጉ ዕቃዎች ግዥ,Salale University,Goods,National,Federal Government,"Apr 11, 2025, 10:00:00 AM"
,,,,,,,
RG-NCB-G-0037-2017-BID,Lot:  1,የተሽከርካሪ ጥገና  ዕቃዎች ግዥ......... LOT  026 2,Republican Guard,Goods,National,Federal Government,"Apr 8, 2025, 10:00:00 AM"
MoP-NCB-NC-0022-2017-BID-Re-bid,Lot:  1,MOp precurement of service and maintenan,Ministry of Peace,NonConsultancyServices,National,Federal Government,"Apr 10, 2025, 2:00:00 PM"
MOD-NCB-G-0557-2017-BID,Lot:  1,Lot 67 procurement of different spare pa,Ministry of Defense,Goods,National,Federal Government,"Apr 10, 2025, 1:00:00 PM"
SPSH-NCB-G-0103-2017-BID,Lot:  1,Procurement of medicine 4(new),St. Peter Specialized Hospital,Goods,National,Federal Government,"Apr 10, 2025, 2:00:00 PM"
MOD-NCB-G-0562-2017-BID,Lot:  1,Lot 66 Procurement of  construction mate,Ministry of Defense,Goods,National,Federal Government,"Apr 10, 2025, 1:00:00 PM"
MEU-NCB-G-0070-2017-BID,Lot:  1,procurement of desk top computer and lap,Mettu University,Goods,National,Federal Government,"Apr 9, 2025, 1:00:00 PM"
HUU-NCB-G-0069-2017-BID,Lot:  1,Procurement Of Work Shop High Spec Deskt,Hawassa University,Goods,National,Federal Government,"Apr 9, 2025, 7:00:00 PM"
MTU-NCB-G-0039-2017-BID,Lot:  1,የ2017 በጀት ዓመት ደምብ ልብስ ግዥ,Mizan-Tepi University,Goods,National,Federal Government,"Apr 9, 2025, 5:00:00 PM"
ESS-NCB-G-0037-2017-BID,Lot:  1,Procurement Of Office Stationery Materia,Ethiopian Statistics Service,Goods,National,Federal Government,"Apr 10, 2025, 2:00:00 PM"
BHU-NCB-G-0082-2017-BID,Lot:  1,LOT 81 Procurements of printing JIKDS Bo,Bule Hora University,Goods,National,Federal Government,"Apr 9, 2025, 10:00:00 AM"
,,,,,,,
BHU-NCB-G-0077-2017-BID,Lot:  1,PROCUREMENT OF VEHICLE OIL AND GREASE,Bule Hora University,Goods,National,Federal Government,"Apr 9, 2025, 3:00:00 PM"
BHU-NCB-G-0081-2017-BID,Lot:  1,Lot 90  ለስምሪት አገልግሎት የሚሆን የተሽከርካሪ ጎማ ግዥ/,Bule Hora University,Goods,National,Federal Government,"Apr 9, 2025, 4:00:00 PM"
ECC-NCB-NC-0127-2017-BID,Lot:  1,LOT 107: PROCUREMENT OF CRAINE AND TRANS,Ethiopian Customs Commission,NonConsultancyServices,National,Federal Government,"Apr 9, 2025, 5:00:00 PM"
ESS-NCB-G-0039-2017-BID,Lot:  1,procurement of uniform2(2017),Ethiopian Statistics Service,Goods,National,Federal Government,"Apr 10, 2025, 6:00:00 PM"
WKU-NCB-G-0106-2017-BID,Lot:  1,ሎት 401; ለወልቂጤ ዩኒቨርሲቲ ለስምሪትና ጋራዥ የተሽከርካሪ,Wolkite University,Goods,National,Federal Government,"Apr 4, 2025, 4:00:00 PM"
SSGI-NCB-G-0084-2017-BID,Lot:  1,Purchase Requisition for uniform cloth 5,Space Science and Geospatial Institute,Goods,National,Federal Government,"Apr 10, 2025, 1:00:00 PM"
MEU-NCB-G-0068-2017-BID,Lot:  1,"Procurement Of Camera, video camera and",Mettu University,Goods,National,Federal Government,"Apr 9, 2025, 10:00:00 AM"
BHU-NCB-W-0083-2017-BID,Lot:  1,LOT 1 PROCUREMENT OF  REMAING STORE WOR,Bule Hora University,Works,National,Federal Government,"Apr 15, 2025, 9:00:00 AM"
ESS-NCB-G-0035-2017-BID,Lot:  1,Procurement Of Umbrella (POU 2017),Ethiopian Statistics Service,Goods,National,Federal Government,"Apr 2, 2025, 3:00:00 PM"
FPC-NCB-G-0061-2017-BID,Lot:  1,ለተለያዩ የሙዚቃ መሳሪያዎች  መያዥያ ቦርሳዎች ግዥ/Procure,Federal Prisoners Commission,Goods,National,Federal Government,"Apr 1, 2025, 10:00:00 AM"
,,,,,,,
BHU-NCB-G-0077-2017-BID,Lot:  1,PROCUREMENT OF VEHICLE OIL AND GREASE,Bule Hora University,Goods,National,Federal Government,"Apr 9, 2025, 3:00:00 PM"
BHU-NCB-G-0081-2017-BID,Lot:  1,Lot 90  ለስምሪት አገልግሎት የሚሆን የተሽከርካሪ ጎማ ግዥ/,Bule Hora University,Goods,National,Federal Government,"Apr 9, 2025, 4:00:00 PM"
ECC-NCB-NC-0127-2017-BID,Lot:  1,LOT 107: PROCUREMENT OF CRAINE AND TRANS,Ethiopian Customs Commission,NonConsultancyServices,National,Federal Government,"Apr 9, 2025, 5:00:00 PM"
ESS-NCB-G-0039-2017-BID,Lot:  1,procurement of uniform2(2017),Ethiopian Statistics Service,Goods,National,Federal Government,"Apr 10, 2025, 6:00:00 PM"
WKU-NCB-G-0106-2017-BID,Lot:  1,ሎት 401; ለወልቂጤ ዩኒቨርሲቲ ለስምሪትና ጋራዥ የተሽከርካሪ,Wolkite University,Goods,National,Federal Government,"Apr 4, 2025, 4:00:00 PM"
SSGI-NCB-G-0084-2017-BID,Lot:  1,Purchase Requisition for uniform cloth 5,Space Science and Geospatial Institute,Goods,National,Federal Government,"Apr 10, 2025, 1:00:00 PM"
MEU-NCB-G-0068-2017-BID,Lot:  1,"Procurement Of Camera, video camera and",Mettu University,Goods,National,Federal Government,"Apr 9, 2025, 10:00:00 AM"
BHU-NCB-W-0083-2017-BID,Lot:  1,LOT 1 PROCUREMENT OF  REMAING STORE WOR,Bule Hora University,Works,National,Federal Government,"Apr 15, 2025, 9:00:00 AM"
ESS-NCB-G-0035-2017-BID,Lot:  1,Procurement Of Umbrella (POU 2017),Ethiopian Statistics Service,Goods,National,Federal Government,"Apr 2, 2025, 3:00:00 PM"
FPC-NCB-G-0061-2017-BID,Lot:  1,ለተለያዩ የሙዚቃ መሳሪያዎች  መያዥያ ቦርሳዎች ግዥ/Procure,Federal Prisoners Commission,Goods,National,Federal Government,"Apr 1, 2025, 10:00:00 AM"
,,,,,,,
